trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
172,False,"{'a': 0.01, 'e': 0.8280017200000085}",20,0,-91.70081489673237,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
173,False,"{'a': 0.01, 'e': 0.8270017300000085}",30,8,-70.37403613577303,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 2}",1
174,False,"{'a': 0.01, 'e': 0.8260017400000086}",30,0,-141.4551324145828,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
175,False,"{'a': 0.01, 'e': 0.8250017500000086}",20,0,-76.15792051135544,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
176,False,"{'a': 0.01, 'e': 0.8240017600000087}",25,0,-75.85476314179533,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
177,False,"{'a': 0.01, 'e': 0.8230017700000087}",20,0,-33.552192991208784,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",1
178,False,"{'a': 0.01, 'e': 0.8220017800000088}",30,8,-57.83924369482509,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 0}",1
179,False,"{'a': 0.01, 'e': 0.8210017900000088}",25,0,-139.7348717264588,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
180,False,"{'a': 0.01, 'e': 0.8200018000000089}",35,0,-170.4185416215899,"{0: 20, 1: 4, 2: 7, 3: 3, 4: 1}",0
181,False,"{'a': 0.01, 'e': 0.8190018100000089}",20,0,-63.825825045152854,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
